Year_Month,Index_1,RANK,NAME,PrevBasho,PrevRank,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,JW,JL,Index_2
188005,11,M3e,Fujitagawa,6-2-1-1d,M5e,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
188005,12,M3w,Aratora,3-1-2-3d-1a,M6w,,,,,,,,X,,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
188005,13,M4e,Arakado,4-3-2-1a,M4e,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
188005,14,M4w,Fujinokawa,2-2-4-2d,M3w,,,,,,,,X,,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
188005,15,M5e,Katsunoura,2-3-2-3d,M3e,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
188005,16,M5w,Chibagatake,4-4-2,M5w,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
188005,17,M6e,Kiyomigata,3-3-2-2d,M6e,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
188005,18,M6w,Shitenryu,8-1,J2w,,X,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
188005,19,M7e,Irumagawa,3-2-3-2d,M8e,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
188005,20,M7w,Tomonohira,6-2-1d,J1e,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
188005,21,M8e,Inagawa,1-4-4-1a,M7e,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
188005,22,M8w,Izutsu,1-6-3,M7w,,X,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
188005,23,M9e,Shimadagawa,6-2-1d,J3e,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
188005,24,M9w,Dategaseki,0-0-10,M8w,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
188005,25,M9wOB,Ageshio,4-2-1-3d,M4w,,,,,,,,X,,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
188101,1,O1e,Wakashima,7-2-1,S1e,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
188101,2,O1w,Umegatani,9-0-1,O1w,,X,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
188101,3,O2eHD,Sakaigawa,2-1-4-3d,O1e,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
188101,4,S1e,Tegarayama,2-2-1-5d,K1e,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
188101,5,S1w,Musashigata,6-1-1-2d,K1w,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
